#                                                                                                    
#     connection.super.sk-5.dat                                                                      
#                                                                                                    
#     connection table for Super-Kamiokande w/ new electronics                                       
#                                                                                                    
#    1  serial cable number (1-21885)                                                                
#    2  PMT super module address                                                                     
#    3  PMT super module sub-address   (for OD, T=top, B=bottom, W=wall)                             
#    4  PMT super module serial number (for OD, A=0, B=1, C=2)                                       
#    5  PMT module serial number                                                                     
#    6  hut number (0 for central hut, 1-4 for quadrant huts)                                        
#    7  TKO BOX number (1-12 for ID, 13-14 for OD)                                                   
#    8  TKO Module Address (0-24)                                                                    
#    9  QB channel (0-23)                                                                            
#   10  HV crate (1-48)  for ID, (1-4)for OD (hut number)                                            
#   11  HV Module Address (0-9), (0-3) for OD                                                        
#   12  HV channel (0-23), (0-11) for OD                                                             
#   13  applied HV value                                                                             
#   14  PMT serial number                                                                            
#   15  PMT flag                                                                                     
#         ID: (-1=N/A 0=No PMT or VETO PMT, 3=SK-2 PMT, 4=SK-3 PMT,                                  
#               5=No PMT(3BM8M3C-W),  6=HK PMT)                                                                 
#         OD: (11=rec02_pmt, 12=rec02_pmt_short, 13=IMB_pmt, 14=upgrade_pmt,                         
#              15=rec06_pmt, 16=rec06_pmt_short, 17=trg_chan,
#              18=ipmu18, 19=uci18, 20=kek18,
#              99=no_pmt)
#   16  QB's IP address (192.168.XX.XX)                                                              
#   17  pmt position : x                                                                             
#   18  pmt position : y                                                                             
#   19  pmt position : z                                                                             
#   20  OD HV paddle card number : hut (1-4)                                                         
#   21  OD HV paddle card number : crate (1-2)                                                       
#   22  OD HV paddle card number : module (1-20)                                                     
#   23  OD HV paddle card number : channel (1-12)                                                    
#                                                                                                    
#   reviced on 7-DEC-1995                                                                            
#   anti-cable are included Jan.-23-1996                                                             
#   changed for new electronics May-28-2007 (M.Shiozawa)                                             
#   updated OD June-17-2008 (N. Tanimoto)                                                            
#   added PMT position info. for ID PMTs Aug-26-2008 (M.Shiozawa)                                    
#   updated OD parts with "not used" PMTs and updated "lowered" PMT HV Sep-9-2008 (N. Tanimoto)
#   updated ID parts according to replacement with HK-PMT during TankOpen2018 Oct-11-2018 (K. Okumura)
#                                                                                                    
# -- for inner-PMTs (1-11146)                                                                        
# -- for muon VETO(11151,11152,11153,11154)                                                          
# -- for calibration ID (11155-?, see skveto.h for details)                                          
# -- for muon chamber(only hut3 and hut4)                                                            
# -- for trigger ID QB (15001-15240, see skhead.h for details)                                       
# -- for anti-PMT(20001-21885)                                                                       
#                                                                                                    
#                                                                                                    
   11151 XXXXXXX   X       0       0   1  12  17  12  12   9   0   1400.00 AF4404   0   192.168.3.145  9999  9999  9999 0 0  0  0
   11152 XXXXXXX   X       0       0   1  12  17  13  12   9   1   1800.00 LM8151   0   192.168.3.145  9999  9999  9999 0 0  0  0
   11153 XXXXXXX   X       0       0   1  12  17  14  12   9   2   1730.00 LM8054   0   192.168.3.145  9999  9999  9999 0 0  0  0
   11154 XXXXXXX   X       0       0   1  12  17  15  12   9   3   1770.00 LM8150   0   192.168.3.145  9999  9999  9999 0 0  0  0
   11155 XXXXXXX   X       0       0   1  12  17  16  -1  -1  -1     -1.00 XXXXXX  -1   192.168.3.145  9999  9999  9999 0 0  0  0
   11156 XXXXXXX   X       0       0   1  12  17  17  -1  -1  -1     -1.00 XXXXXX  -1   192.168.3.145  9999  9999  9999 0 0  0  0
   11157 XXXXXXX   X       0       0   1  12  17  18  -1  -1  -1     -1.00 XXXXXX  -1   192.168.3.145  9999  9999  9999 0 0  0  0
   11158 XXXXXXX   X       0       0   1  12  17  19  -1  -1  -1     -1.00 XXXXXX  -1   192.168.3.145  9999  9999  9999 0 0  0  0
   11159 XXXXXXX   X       0       0   1  12  17  20  -1  -1  -1     -1.00 XXXXXX  -1   192.168.3.145  9999  9999  9999 0 0  0  0
   11160 XXXXXXX   X       0       0   1  12  17  21  -1  -1  -1     -1.00 XXXXXX  -1   192.168.3.145  9999  9999  9999 0 0  0  0
   11161 XXXXXXX   X       0       0   1  12  17  22  -1  -1  -1     -1.00 XXXXXX  -1   192.168.3.145  9999  9999  9999 0 0  0  0
   11162 XXXXXXX   X       0       0   1  12  17  23  -1  -1  -1     -1.00 XXXXXX  -1   192.168.3.145  9999  9999  9999 0 0  0  0
   11163 XXXXXXX   X       0       0   2   2  17  12  -1  -1  -1     -1.00 XXXXXX  -1   192.168.4.81   9999  9999  9999 0 0  0  0
   11164 XXXXXXX   X       0       0   2   2  17  13  -1  -1  -1     -1.00 XXXXXX  -1   192.168.4.81   9999  9999  9999 0 0  0  0
   11165 XXXXXXX   X       0       0   2   2  17  14  -1  -1  -1     -1.00 XXXXXX  -1   192.168.4.81   9999  9999  9999 0 0  0  0
   11166 XXXXXXX   X       0       0   2   2  17  15  -1  -1  -1     -1.00 XXXXXX  -1   192.168.4.81   9999  9999  9999 0 0  0  0
   11167 XXXXXXX   X       0       0   2   2  17  16  -1  -1  -1     -1.00 XXXXXX  -1   192.168.4.81   9999  9999  9999 0 0  0  0
   11168 XXXXXXX   X       0       0   2   2  17  17  -1  -1  -1     -1.00 XXXXXX  -1   192.168.4.81   9999  9999  9999 0 0  0  0
   11169 XXXXXXX   X       0       0   2   2  17  18  -1  -1  -1     -1.00 XXXXXX  -1   192.168.4.81   9999  9999  9999 0 0  0  0
   11170 XXXXXXX   X       0       0   2   2  17  19  -1  -1  -1     -1.00 XXXXXX  -1   192.168.4.81   9999  9999  9999 0 0  0  0
   11171 XXXXXXX   X       0       0   2   2  17  20  -1  -1  -1     -1.00 XXXXXX  -1   192.168.4.81   9999  9999  9999 0 0  0  0
   11172 XXXXXXX   X       0       0   2   2  17  21  -1  -1  -1     -1.00 XXXXXX  -1   192.168.4.81   9999  9999  9999 0 0  0  0
   11173 XXXXXXX   X       0       0   2   2  17  22  -1  -1  -1     -1.00 XXXXXX  -1   192.168.4.81   9999  9999  9999 0 0  0  0
   11174 XXXXXXX   X       0       0   2   2  17  23  -1  -1  -1     -1.00 XXXXXX  -1   192.168.4.81   9999  9999  9999 0 0  0  0
   11175 XXXXXXX   X       0       0   3  12  17  12  -1  -1  -1     -1.00 XXXXXX  -1   192.168.7.145  9999  9999  9999 0 0  0  0
   11176 XXXXXXX   X       0       0   3  12  17  13  -1  -1  -1     -1.00 XXXXXX  -1   192.168.7.145  9999  9999  9999 0 0  0  0
   11177 XXXXXXX   X       0       0   3  12  17  14  -1  -1  -1     -1.00 XXXXXX  -1   192.168.7.145  9999  9999  9999 0 0  0  0
   11178 XXXXXXX   X       0       0   3  12  17  15  -1  -1  -1     -1.00 XXXXXX  -1   192.168.7.145  9999  9999  9999 0 0  0  0
   11179 XXXXXXX   X       0       0   3  12  17  16  -1  -1  -1     -1.00 XXXXXX  -1   192.168.7.145  9999  9999  9999 0 0  0  0
   11180 XXXXXXX   X       0       0   3  12  17  17  -1  -1  -1     -1.00 XXXXXX  -1   192.168.7.145  9999  9999  9999 0 0  0  0
   11181 XXXXXXX   X       0       0   3  12  17  18  -1  -1  -1     -1.00 XXXXXX  -1   192.168.7.145  9999  9999  9999 0 0  0  0
   11182 XXXXXXX   X       0       0   3  12  17  19  -1  -1  -1     -1.00 XXXXXX  -1   192.168.7.145  9999  9999  9999 0 0  0  0
